"","team_one","team_two","score_one","score_two","rank_team_one","conf_team_one","rank_team_two","conf_team_two","year","host_region","home_cont_one","home_cont_two","team_one_win","team_two_win","draw"
"1","Argentina","Hungary",2,1,1924,"CONMEBOL",1919,"UEFA",1978,"CONMEBOL","1","0","1","0","0"
"2","Italy","France",2,1,1934,"UEFA",1880,"UEFA",1978,"CONMEBOL","0","0","1","0","0"
"3","Argentina","France",2,1,1924,"CONMEBOL",1880,"UEFA",1978,"CONMEBOL","1","0","1","0","0"
"4","Italy","Hungary",3,1,1934,"UEFA",1919,"UEFA",1978,"CONMEBOL","0","0","1","0","0"
"5","Argentina","Italy",0,1,1924,"CONMEBOL",1934,"UEFA",1978,"CONMEBOL","1","0","0","1","0"
"6","France","Hungary",3,1,1880,"UEFA",1919,"UEFA",1978,"CONMEBOL","0","0","1","0","0"
"7","Poland","West Germany",0,0,1941,"UEFA",2082,"UEFA",1978,"CONMEBOL","0","0","0","0","1"
"8","Tunisia","Mexico",3,1,1678,"CAF",1793,"CONCACAF",1978,"CONMEBOL","0","0","1","0","0"
"9","Poland","Tunisia",1,0,1941,"UEFA",1678,"CAF",1978,"CONMEBOL","0","0","1","0","0"
"10","West Germany","Mexico",6,0,2082,"UEFA",1793,"CONCACAF",1978,"CONMEBOL","0","0","1","0","0"
"11","Poland","Mexico",3,1,1941,"UEFA",1793,"CONCACAF",1978,"CONMEBOL","0","0","1","0","0"
"12","Tunisia","West Germany",0,0,1678,"CAF",2082,"UEFA",1978,"CONMEBOL","0","0","0","0","1"
"13","Austria","Spain",2,1,1859,"UEFA",1956,"UEFA",1978,"CONMEBOL","0","0","1","0","0"
"14","Brazil","Sweden",1,1,2077,"CONMEBOL",1790,"UEFA",1978,"CONMEBOL","1","0","0","0","1"
"15","Austria","Sweden",1,0,1859,"UEFA",1790,"UEFA",1978,"CONMEBOL","0","0","1","0","0"
"16","Brazil","Spain",0,0,2077,"CONMEBOL",1956,"UEFA",1978,"CONMEBOL","1","0","0","0","1"
"17","Brazil","Austria",1,0,2077,"CONMEBOL",1859,"UEFA",1978,"CONMEBOL","1","0","1","0","0"
